d_idle,p_idle,idle,total_d,total_p,total,ep
42.0,262.0,304.0,1223.0,671.0,1894.0,248
30.0,306.0,336.0,1211.0,715.0,1926.0,249
32.0,348.0,380.0,1213.0,757.0,1970.0,250
42.0,348.0,390.0,1223.0,757.0,1980.0,251
56.0,202.0,258.0,1237.0,611.0,1848.0,252
81.0,251.0,332.0,1262.0,660.0,1922.0,253
19.0,352.0,371.0,1200.0,761.0,1961.0,254
22.0,352.0,374.0,1203.0,761.0,1964.0,255
24.0,313.0,337.0,1205.0,722.0,1927.0,256
82.0,358.0,440.0,1263.0,767.0,2030.0,257
40.0,227.0,267.0,1221.0,636.0,1857.0,258
40.0,271.0,311.0,1221.0,680.0,1901.0,259
19.0,319.0,338.0,1200.0,728.0,1928.0,260
46.0,377.0,423.0,1227.0,786.0,2013.0,261
25.0,357.0,382.0,1206.0,766.0,1972.0,262
64.0,251.0,315.0,1245.0,660.0,1905.0,263
34.0,285.0,319.0,1215.0,694.0,1909.0,264
40.0,211.0,251.0,1221.0,620.0,1841.0,265
22.0,353.0,375.0,1203.0,762.0,1965.0,266
46.0,293.0,339.0,1227.0,702.0,1929.0,267
23.0,363.0,386.0,1204.0,772.0,1976.0,268
58.0,261.0,319.0,1239.0,670.0,1909.0,269
48.0,344.0,392.0,1229.0,753.0,1982.0,270
39.0,398.0,437.0,1220.0,807.0,2027.0,271
32.0,413.0,445.0,1213.0,822.0,2035.0,272
38.0,372.0,410.0,1219.0,781.0,2000.0,273
44.0,328.0,372.0,1225.0,737.0,1962.0,274
6.0,411.0,417.0,1187.0,820.0,2007.0,275
45.0,275.0,320.0,1226.0,684.0,1910.0,276
43.0,301.0,344.0,1224.0,710.0,1934.0,277
22.0,273.0,295.0,1203.0,682.0,1885.0,278
39.0,211.0,250.0,1220.0,620.0,1840.0,279
29.0,183.0,212.0,1210.0,592.0,1802.0,280
42.0,344.0,386.0,1223.0,753.0,1976.0,281
36.0,436.0,472.0,1217.0,845.0,2062.0,282
17.0,412.0,429.0,1198.0,821.0,2019.0,283
19.0,331.0,350.0,1200.0,740.0,1940.0,284
56.0,117.0,173.0,1237.0,526.0,1763.0,285
58.0,388.0,446.0,1239.0,797.0,2036.0,286
22.0,336.0,358.0,1203.0,745.0,1948.0,287
16.0,309.0,325.0,1197.0,718.0,1915.0,288
17.0,293.0,310.0,1198.0,702.0,1900.0,289
28.0,396.0,424.0,1209.0,805.0,2014.0,290
42.0,367.0,409.0,1223.0,776.0,1999.0,291
20.0,409.0,429.0,1201.0,818.0,2019.0,292
5.0,299.0,304.0,1186.0,708.0,1894.0,293
68.0,384.0,452.0,1249.0,793.0,2042.0,294
29.0,490.0,519.0,1210.0,899.0,2109.0,295
64.0,322.0,386.0,1245.0,731.0,1976.0,296
38.0,252.0,290.0,1219.0,661.0,1880.0,297
48.0,234.0,282.0,1229.0,643.0,1872.0,298
22.0,324.0,346.0,1203.0,733.0,1936.0,299
8.0,331.0,339.0,1189.0,740.0,1929.0,300
9.0,398.0,407.0,1190.0,807.0,1997.0,301
33.0,423.0,456.0,1214.0,832.0,2046.0,302
44.0,280.0,324.0,1225.0,689.0,1914.0,303
39.0,282.0,321.0,1220.0,691.0,1911.0,304
39.0,323.0,362.0,1220.0,732.0,1952.0,305
53.0,343.0,396.0,1234.0,752.0,1986.0,306
6.0,392.0,398.0,1187.0,801.0,1988.0,307
30.0,326.0,356.0,1211.0,735.0,1946.0,308
48.0,287.0,335.0,1229.0,696.0,1925.0,309
32.0,316.0,348.0,1213.0,725.0,1938.0,310
28.0,463.0,491.0,1209.0,872.0,2081.0,311
47.0,170.0,217.0,1228.0,579.0,1807.0,312
61.0,348.0,409.0,1242.0,757.0,1999.0,313
38.0,269.0,307.0,1219.0,678.0,1897.0,314
123.0,385.0,508.0,1304.0,794.0,2098.0,315
34.0,289.0,323.0,1215.0,698.0,1913.0,316
15.0,402.0,417.0,1196.0,811.0,2007.0,317
19.0,319.0,338.0,1200.0,728.0,1928.0,318
26.0,307.0,333.0,1207.0,716.0,1923.0,319
48.0,194.0,242.0,1229.0,603.0,1832.0,320
14.0,277.0,291.0,1195.0,686.0,1881.0,321
33.0,251.0,284.0,1214.0,660.0,1874.0,322
34.0,314.0,348.0,1215.0,723.0,1938.0,323
15.0,351.0,366.0,1196.0,760.0,1956.0,324
80.0,197.0,277.0,1261.0,606.0,1867.0,325
73.0,263.0,336.0,1254.0,672.0,1926.0,326
12.0,370.0,382.0,1193.0,779.0,1972.0,327
50.0,301.0,351.0,1231.0,710.0,1941.0,328
42.0,348.0,390.0,1223.0,757.0,1980.0,329
8.0,238.0,246.0,1189.0,647.0,1836.0,330
82.0,211.0,293.0,1263.0,620.0,1883.0,331
54.0,270.0,324.0,1235.0,679.0,1914.0,332
57.0,322.0,379.0,1238.0,731.0,1969.0,333
12.0,480.0,492.0,1193.0,889.0,2082.0,334
23.0,424.0,447.0,1204.0,833.0,2037.0,335
36.0,352.0,388.0,1217.0,761.0,1978.0,336
19.0,268.0,287.0,1200.0,677.0,1877.0,337
52.0,309.0,361.0,1233.0,718.0,1951.0,338
39.0,329.0,368.0,1220.0,738.0,1958.0,339
10.0,247.0,257.0,1191.0,656.0,1847.0,340
27.0,271.0,298.0,1208.0,680.0,1888.0,341
27.0,294.0,321.0,1208.0,703.0,1911.0,342
66.0,286.0,352.0,1247.0,695.0,1942.0,343
56.0,224.0,280.0,1237.0,633.0,1870.0,344
29.0,343.0,372.0,1210.0,752.0,1962.0,345
63.0,370.0,433.0,1244.0,779.0,2023.0,346
91.0,180.0,271.0,1272.0,589.0,1861.0,347
19.0,405.0,424.0,1200.0,814.0,2014.0,348
41.0,350.0,391.0,1222.0,759.0,1981.0,349
34.0,377.0,411.0,1215.0,786.0,2001.0,350
30.0,260.0,290.0,1211.0,669.0,1880.0,351
29.0,325.0,354.0,1210.0,734.0,1944.0,352
65.0,346.0,411.0,1246.0,755.0,2001.0,353
39.0,202.0,241.0,1220.0,611.0,1831.0,354
21.0,244.0,265.0,1202.0,653.0,1855.0,355
47.0,285.0,332.0,1228.0,694.0,1922.0,356
25.0,364.0,389.0,1206.0,773.0,1979.0,357
26.0,309.0,335.0,1207.0,718.0,1925.0,358
28.0,388.0,416.0,1209.0,797.0,2006.0,359
62.0,366.0,428.0,1243.0,775.0,2018.0,360
