did,pid,start_time,pro_time,finish_time,step
15,132,172.0,10,182.0,255
15,106,182.0,14,196.0,262
16,122,0.0,13,13.0,9
16,121,13.0,18,31.0,33
16,102,31.0,11,42.0,41
16,147,42.0,10,52.0,50
16,137,52.0,17,69.0,52
16,179,69.0,19,88.0,59
16,91,88.0,15,103.0,81
16,42,103.0,18,121.0,90
16,86,121.0,10,131.0,105
16,107,131.0,15,146.0,145
16,2,146.0,13,159.0,186
16,83,159.0,11,170.0,205
16,57,170.0,10,180.0,227
16,97,180.0,15,195.0,265
17,38,0.0,13,13.0,67
17,129,13.0,20,33.0,72
17,152,33.0,15,48.0,87
17,107,48.0,18,66.0,107
17,210,66.0,13,79.0,122
17,54,79.0,20,99.0,159
17,195,99.0,13,112.0,160
17,39,112.0,17,129.0,161
17,16,129.0,17,146.0,179
17,114,146.0,14,160.0,188
17,133,160.0,15,175.0,192
17,100,175.0,18,193.0,216
17,37,193.0,10,203.0,248
17,94,203.0,15,218.0,256
18,54,0.0,18,18.0,2
18,217,18.0,11,29.0,28
18,207,29.0,18,47.0,34
18,88,47.0,20,67.0,103
18,127,67.0,19,86.0,140
18,24,86.0,16,102.0,141
18,187,102.0,11,113.0,181
18,44,113.0,15,128.0,198
18,170,128.0,10,138.0,207
18,81,138.0,10,148.0,208
18,20,148.0,19,167.0,213
18,202,167.0,12,179.0,240
18,158,179.0,13,192.0,243
18,66,192.0,19,211.0,259
19,1,0.0,17,17.0,0
19,30,17.0,11,28.0,64
19,98,28.0,20,48.0,139
19,19,48.0,10,58.0,153
19,71,58.0,16,74.0,197
19,119,74.0,12,86.0,206
19,210,86.0,12,98.0,209
19,72,98.0,19,117.0,231
19,211,117.0,17,134.0,232
19,189,134.0,11,145.0,252
