d_idle,p_idle,idle,total_d,total_p,total,ep
52.0,408.0,460.0,1233.0,817.0,2050.0,65
32.0,328.0,360.0,1213.0,737.0,1950.0,66
23.0,481.0,504.0,1204.0,890.0,2094.0,67
46.0,222.0,268.0,1227.0,631.0,1858.0,68
82.0,168.0,250.0,1263.0,577.0,1840.0,69
27.0,461.0,488.0,1208.0,870.0,2078.0,70
29.0,394.0,423.0,1210.0,803.0,2013.0,71
34.0,264.0,298.0,1215.0,673.0,1888.0,72
59.0,263.0,322.0,1240.0,672.0,1912.0,73
41.0,361.0,402.0,1222.0,770.0,1992.0,74
69.0,328.0,397.0,1250.0,737.0,1987.0,75
17.0,419.0,436.0,1198.0,828.0,2026.0,76
18.0,327.0,345.0,1199.0,736.0,1935.0,77
42.0,335.0,377.0,1223.0,744.0,1967.0,78
51.0,299.0,350.0,1232.0,708.0,1940.0,79
46.0,309.0,355.0,1227.0,718.0,1945.0,80
35.0,402.0,437.0,1216.0,811.0,2027.0,81
21.0,256.0,277.0,1202.0,665.0,1867.0,82
50.0,331.0,381.0,1231.0,740.0,1971.0,83
27.0,256.0,283.0,1208.0,665.0,1873.0,84
50.0,363.0,413.0,1231.0,772.0,2003.0,85
61.0,335.0,396.0,1242.0,744.0,1986.0,86
26.0,224.0,250.0,1207.0,633.0,1840.0,87
47.0,286.0,333.0,1228.0,695.0,1923.0,88
39.0,392.0,431.0,1220.0,801.0,2021.0,89
34.0,279.0,313.0,1215.0,688.0,1903.0,90
14.0,373.0,387.0,1195.0,782.0,1977.0,91
47.0,294.0,341.0,1228.0,703.0,1931.0,92
30.0,299.0,329.0,1211.0,708.0,1919.0,93
23.0,297.0,320.0,1204.0,706.0,1910.0,94
75.0,288.0,363.0,1256.0,697.0,1953.0,95
30.0,290.0,320.0,1211.0,699.0,1910.0,96
14.0,279.0,293.0,1195.0,688.0,1883.0,97
48.0,361.0,409.0,1229.0,770.0,1999.0,98
27.0,270.0,297.0,1208.0,679.0,1887.0,99
45.0,322.0,367.0,1226.0,731.0,1957.0,100
46.0,258.0,304.0,1227.0,667.0,1894.0,101
15.0,241.0,256.0,1196.0,650.0,1846.0,102
20.0,374.0,394.0,1201.0,783.0,1984.0,103
24.0,321.0,345.0,1205.0,730.0,1935.0,104
49.0,274.0,323.0,1230.0,683.0,1913.0,105
61.0,293.0,354.0,1242.0,702.0,1944.0,106
9.0,329.0,338.0,1190.0,738.0,1928.0,107
36.0,331.0,367.0,1217.0,740.0,1957.0,108
27.0,191.0,218.0,1208.0,600.0,1808.0,109
9.0,425.0,434.0,1190.0,834.0,2024.0,110
23.0,200.0,223.0,1204.0,609.0,1813.0,111
72.0,186.0,258.0,1253.0,595.0,1848.0,112
14.0,416.0,430.0,1195.0,825.0,2020.0,113
4.0,377.0,381.0,1185.0,786.0,1971.0,114
18.0,272.0,290.0,1199.0,681.0,1880.0,115
32.0,396.0,428.0,1213.0,805.0,2018.0,116
31.0,239.0,270.0,1212.0,648.0,1860.0,117
